Titolo,Tipologia,Data Inizio,Data Fine,Orario,Luogo,Prezzo,Link,Fonte
Esperienza Divina alla Casa Divina Provvidenza: Tour e degustazione nella Sala dei Cristalli,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/divina-experience_d6864_travel,Winedering
Degustazione classica di vini presso la Cantina Costantini nei Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/classic-wine-tasting-at-cantina-costantini-in-castelli-romani_d3233_travel,Winedering
Degustazione Superior presso la Cantina Costantini ai Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/superior-wine-tasting-at-cantina-costantini-in-castelli-romani_d3234_travel,Winedering
Degustazione presso Cantina Fabullus con abbinamento di vini a Trastevere,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/rome-fabullus-wine-cellar-food-tasting-with-wine-pairing-in-trastevere_d5842_travel,Winedering
"Degustazione di vini presso Merumalia, a pochi passi da Roma",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/frascati-docg-tasting-at-merumalia-just-a-stones-throw-from-rome_d2348_travel,Winedering
Degustazione Prestige presso la Cantina Costantini ai Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/prestige-wine-tasting-at-cantina-costantini-in-castelli-romani_d3236_travel,Winedering
Degustazione di vini & tour della cantina e del vigneto presso Tenimenti Leone,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-tasting-vineyard-tour-at-tenimenti-leone_d2550_travel,Winedering
I vini selezionati di Roma: Degustazione privata di vini e tour,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/romes-selected-wines-private-wine-tasting-and-tour_d3800_travel,Winedering
Degustazione di vini e tour alle Cantine Capitani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-tasting-and-tour-at-cantine-capitani_d2278_travel,Winedering
Degustazione Deluxe presso Villa Simone nei Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/deluxe-wine-tasting-at-villa-simone-in-castelli-romani_d2119_travel,Winedering
Wine experience alla Cantina Le Macchie vicino a Roma - Tour e degustazione di vini con prodotti locali,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/vineyard-and-cellar-tour-wine-tasting-experience-at-le-macchie-winery_d3519_travel,Winedering
Degustazione di vini e tour presso Pileum,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-tasting-and-tour-at-pileum_d2291_travel,Winedering
Wine Tour di Trastevere a Roma,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/trastevere-wine-tour-in-rome_d2572_travel,Winedering
Esclusiva degustazione di vini nel cuore di Roma,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/exclusive-wine-tasting-experience-in-the-heart-of-rome_d5546_travel,Winedering
"Esperienza enogastronomica vicino a Roma, mangia e degusta 7 vini della Cantina le Macchie",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-food-experience-near-rome-eat-and-taste-7-wines-from-cantina-le-macchie_d6999_travel,Winedering
Eredi dei Papi: Tour e degustazione nel cuore dei Castelli Romani,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/eredi-dei-papi-tour-and-wine-tasting-in-the-heart-of-the-castelli-romani_d5314_travel,Winedering
Un viaggio attraverso il gusto e la tradizione presso la Cantina Le Macchie,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/wine-lovers_d6590_travel,Winedering
"Esperienza di degustazione di vini al Rifugio Divino, Cantina Le Macchie",Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,Consulta sito,https://www.winedering.com/it/sleeptaste-at-rifugio-divino_d6593_travel,Winedering
