Titolo,Tipologia,Data Inizio,Data Fine,Orario,Luogo,Prezzo,Link,Fonte
Agricola D'ausilio - Alla scoperta della Costa D'ulisse,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€60,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/agricola-dausilio-alla-scoperta-della-costa-dulisse,WineriesExperience
Al Piglio Maison De Charme - Degustazione 4 Calici,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€30,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-degustazione-4-calici,WineriesExperience
Al Piglio Maison De Charme - Degustazione 5 Calici,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€40,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-degustazione-5-calici,WineriesExperience
Al Piglio Maison De Charme - Pranzo con Degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€90,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-pranzo-con-degustazione,WineriesExperience
Al Piglio Maison De Charme - Pranzo Degustazione & Percorso Wellness,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€190,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-pranzo-degustazione-percorso-wellness,WineriesExperience
Al Piglio Maison De Charme - Soggiorno & Pranzo con degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€390,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-soggiorno-pranzo-con-degustazione,WineriesExperience
Al Piglio Maison De Charme - Weekend Relax,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€490,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/al-piglio-maison-de-charme-weekend-relax,WineriesExperience
Amor vitae - Made in Lazio,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€35,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/amor-vitae-made-in-lazio,WineriesExperience
Amor vitae - Menù Degustazione,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€55,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/amor-vitae-menu-degustazione,WineriesExperience
Cantina Costantini -  Exclusive tasting,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€150,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-exclusive-tasting,WineriesExperience
Cantina Costantini - Degustazione Classica,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€27,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-degustazione-classic,WineriesExperience
Cantina Costantini - Degustazione Prestige,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€75,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-degustazione-prestige,WineriesExperience
Cantina Costantini - Esperienza Superior,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€37,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/costantini-superior,WineriesExperience
Cantina Le Macchie - Le Origini,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€25,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-le-origini,WineriesExperience
Cantina Le Macchie - Notte DiVina,Degustazione,Prenotare,Prenotare,Consulta sito,Consulta sito,"€240,00 EUR",https://wineriesexperience.it/collections/degustazioni-vini-lazio/products/cantina-le-macchie-notte-divina,WineriesExperience
