Titolo,Tipologia,Data Inizio,Data Fine,Orario,Luogo,Prezzo,Link,Fonte
Lazio’s Legacy: Costantini Wine & Gourmet Journey,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/prestige-wine-tasting-at-cantina-costantini-winery,Winetourism.com
Lazio Wine & Bites: Cantina Costantini Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/classic-wine-tasting-at-cantina-constantini-winery,Winetourism.com
Lazio’s Castelli Romani Wine & Tasting Journey,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/superior-tasting-at-cantina-constantini-winery,Winetourism.com
Lazio Grape Harvest & Wine Tasting Adventure,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Di Presciano, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/grape-harvesting-on-a-wine-tasting-tour-of-cantina-costantini,Winetourism.com
Lazio's Finest: Wine & Cuisine at Costantini,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Giuseppe Garibaldi 25, 00045 Genzano di Roma Rome, Italy",Consulta sito,https://www.winetourism.com/experience/historic-cellar-cantina-costantini,Winetourism.com
Sunset Vineyard Picnic & Wine Dinner in Lazio,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Colli San Paolo 13, 00072 Ariccia Rome, Italy",Consulta sito,https://www.winetourism.com/experience/wine-tasting-vineyard,Winetourism.com
Lazio Seaside Wine & Vineyard Tour at Etruscaia,Degustazione,Prenotare,Prenotare,Consulta sito,"01016, Tarquinia, Viterbo, Italy",120.00,https://www.winetourism.com/experience/visit-and-wine-tasting-at-etruscaia,Winetourism.com
Lazio’s Organic Wine & Farm Feast at Etruscaia,Degustazione,Prenotare,Prenotare,Consulta sito,"01016, Tarquinia, Viterbo, Italy",60.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-azienda-vitivinicola-etruscaia,Winetourism.com
Lazio’s Volcanic Vines: Organic Wine & Roman Heritage,Degustazione,Prenotare,Prenotare,Consulta sito,"Vicolo Prataporci 8, 00044 Frascati Rome, Italy",43.75,https://www.winetourism.com/experience/wine-experience-and-tasting-at-merumalia-family-vineyard,Winetourism.com
"Lazio Vineyard Tour, Tasting & Gourmet Feast",Degustazione,Prenotare,Prenotare,Consulta sito,"Via Foresta 51, 02100 Rieti Rieti, Italy",75.00,https://www.winetourism.com/experience/wine-food-experience-cantina-le-macchie,Winetourism.com
Organic Wine Journey in Lazio's Volcanic Vineyards,Degustazione,Prenotare,Prenotare,Consulta sito,"Via Pietra Porzia 50, Frascati, Italia / Roma / Lazio, 44, Italy",35.00,https://www.winetourism.com/experience/popular-wine-tasting-and-tour-at-azienda-biologica-de-sanctis-winery,Winetourism.com
Lazio Winemaking & Tasting at Cantina I Ciacca,Degustazione,Prenotare,Prenotare,Consulta sito,"03040, Picinisco, Frosinone, Italy",50.00,https://www.winetourism.com/experience/wine-tasting-at-cantina-i-ciacca,Winetourism.com
Lazio Vineyard Tour: Organic Wines & Seasonal Feast,Degustazione,Prenotare,Prenotare,Consulta sito,"Vicolo Prataporci 8, 00044 Frascati Rome, Italy",70.00,https://www.winetourism.com/experience/wine-tour-with-tasting-and-lunch,Winetourism.com
Lazio Vineyard Tour & Wine Tasting at Casale Del Giglio,Degustazione,Prenotare,Prenotare,Consulta sito,"Strada Cisterna Nettuno Km 13, Le Ferriere, 4100, Italy",46.00,https://www.winetourism.com/experience/wine-tasting-and-tour-at-casale-del-giglio-societa-agricola,Winetourism.com
Lazio's Ancient Maturano: Rare Organic Wine Tasting,Degustazione,Prenotare,Prenotare,Consulta sito,"03040, Picinisco, Frosinone, Italy",50.00,https://www.winetourism.com/experience/maturano-a-unique-historic-grape-vertical-tasting-cantina-ciacca,Winetourism.com
